# acars_data.csv - reference tables for analyse_acars.py
# Airports, aerodromes, heliports and seaplane bases: everything that
# carries a usable code. Only entries with no code at all are dropped,
# since they can never appear in a message. Never read from the network.
#   airports: OurAirports, public domain - https://ourairports.com/data/
#   airlines: OpenFlights, ODbL          - https://openflights.org/data.html
# type,iata,icao,label   (A = airport, L = airline)
A,UTK,,Utirik (Utirik Island)
A,OCA,,Ocean Reef Club (Key Largo)
A,CSE,,Crested Butte Airpark
A,CUS,,Columbus
A,JCY,,LBJ Ranch (Stonewall)
A,WLR,,Loring Seaplane Base
A,NUP,,Nunapitchuk
A,PTC,,Port Alice Seaplane Base
A,ICY,,Icy Bay
A,PPV,,Port Protection Seaplane Base
A,KKK,,Kalakaket Creek AS
A,MHS,,Dunsmuir Muni-Mott
A,NIR,,Chase Field Industrial (Beeville)
A,GCT,,Grand Canyon Bar Ten Airstrip (Littlefield)
A,ELW,,Ellamar Seaplane Base
A,LVD,,Lime Village
A,HGZ,,Hog River (Hogatza)
A,OTN,,Ed-Air (Oaktown)
A,TLF,,Telida
A,BZT,,Eagle Air Park (Brazoria)
A,HBH,,Entrance Island Seaplane Base
A,FAK,,False Island Seaplane Base
A,BYW,,Blakely Island
A,DRF,,Drift River (Kenai)
A,BDF,,Rinkenberger Restricted Landing Area (Bradford)
A,TEH,,Tetlin
A,VRS,,Roy Otten Memorial (Versailles)
A,GDH,,Golden Horn Lodge Seaplane Base
A,ATT,,Atmautluak
A,LIV,,Livengood Camp
A,PDB,,Pedro Bay
A,KOZ,,Ouzinkie
A,TNK,,Tununak
A,WHD,,Hyder Seaplane Base
A,MNT,,Minto Al Wright
A,TKI,,Tokeen Seaplane Base
A,WKK,,Aleknagik / New
A,WFB,,Ketchikan Harbor Seaplane Base
A,RFK,,Rollang Field (Rolling Fork)
A,NNK,,Naknek
A,BKF,,Lake Brooks Seaplane Base (Katmai National Park)
A,BCS,,Southern Seaplane (Belle Chasse)
A,MMN,,Minute Man Air Field (Stow)
A,SPQ,,Catalina Air-Sea Terminal Heliport (San Pedro)
A,TSS,,East 34th Street Heliport (New York)
A,NYS,,New York Skyports Inc Seaplane Base
A,WYB,,Yes Bay Lodge Seaplane Base
A,CWS,,Center Island
A,TEK,,Tatitlek
A,DUF,,Pine Island (Corolla)
A,SSW,,Stuart Island Airpark (Friday Harbor)
A,FOB,,Fort Bragg
A,PUL,,Port of Poulsbo Marina Moorage Seaplane Base
A,CCD,,Century City Heliport (Los Angeles)
A,WMK,,Meyers Chuck Seaplane Base
A,AXB,,Maxson (Alexandria Bay)
A,REE,,Reese Airpark (Lubbock)
A,WDN,,Waldron Airstrip (Eastsound)
A,WWP,,Whale Pass Seaplane Float Harbor Facility
A,CHU,,Chuathbaluk
A,UGS,,Ugashik
A,JID,,Recreation and Conference Center Heliport (City of Industr
A,PSQ,,Philadelphia Seaplane Base (Essington)
A,KLL,,Levelock
A,SGW,,Saginaw Seaplane Base (Saginaw Bay)
A,WTL,,Tuntutuliak
A,TWA,,Twin Hills
A,KCQ,,Chignik Lake
A,,AA00,Shump (Talkeetna)
A,,AA01,West Beaver Seaplane Base (Big Lake)
A,,AA02,Horseshoe Lake Seaplane Base (Big Lake)
A,,AA03,Central Pad Heliport (Deadhorse)
A,,AA04,Viking Heliport (Anchorage)
A,,AA05,Shelby Strip (Palmer)
A,,AA06,Sixmile Lake (Anchorage)
A,,AA07,Saddleback Island Heliport (Big Lake)
A,,AA08,Alaska Heliworx Heliport (Palmer)
A,,AA09,Busch Creek (Talkeetna)
A,,AA10,Eagles Roost (Big Lake)
A,,AA11,Misty Lake Seaplane Base (Wasilla)
A,,AA12,Dove Island Lodge Seaplane Base (Sitka)
A,,AA13,Northwest Hospital/Sahuarita Heliport
A,,AA14,Toolik Heliport (Toolik Field Station)
A,,AA16,Treasure Chest (Kenai)
A,,AA17,Little Heliport (Wasilla)
A,,AA22,Delta Daves (Delta Junction)
A,,AA27,Otp Heliport (Nuiqsut)
A,,AA30,Trio Estates (Houston)
A,,AA33,Gus Landing (Houston)
A,,AA35,35 Mile Lodge Heliport (Haines)
A,,AA38,Nikaitchuq Operations Center Heliport (Kuparuk)
A,,AA44,Barlett Regional Hospital Heliport (Juneau)
A,,AA50,Point Thomson Sea Ice Airstrip (Deadhorse)
A,,AA51,Spy Island Drill-Site Heliport (Kuparuk)
A,,AA76,Timber Trails (North Pole)
A,,AA85,Walby Lake Seaplane Base (Palmer)
A,AAD,,Adado
A,,AAXX,Aeródromo de Punto Rothera (Rothera Point)
A,ABP,,Atkamba (Atkamba Mission)
A,ACM,,Arica
A,ALV,,Andorra la Vella Heliport (Escaldes-Engordany)
A,ADV,,El Daein
A,DST,,Dubai Seaplane Terminal
A,AEE,,Adareil
A,AEQ,,Ar Horqin (Chifeng)
A,,AF04,Helmand (Tofangca)
A,,AF06,Khwaja Ghar North
A,,AF07,Khwaja Ghar South
A,,AF08,Kutub Khel
A,,AF09,Nayak (Yakawlang)
A,,AF13,Shebartu Landing Zone (Bum-e Shebar)
A,,AF14,Tapa (Farah Rud)
A,,AF15,Qara Tepa Heliport
A,AFK,,Kondavattavana Tank Seaplane Base (Ampara)
A,BBQ,,Burton-Nibbs (Codrington)
A,AFT,AGAF,Afutara Aerodrome (Bila)
A,RNA,AGAR,Ulawa (Arona)
A,ATD,AGAT,Uru Harbour (Atoifi)
A,VEV,AGBA,Barakoma
A,BPF,AGBT,Batuna Aerodrome (Batuna Mission Station)
A,GEF,AGEV,Geva (Liangia)
A,AGG,,Angoram
A,AKS,AGGA,Gwaunaru'u (Auki)
A,BNY,AGGB,Bellona/Anua
A,CHY,AGGC,Choiseul Bay
A,BAS,AGGE,Ballalae
A,FRE,AGGF,Fera/Maringe (Fera Island)
A,HIR,AGGH,Honiara
A,MBU,AGGI,Babanakira (Mbambanakira)
A,AVU,AGGJ,Avu Avu
A,IRA,AGGK,Ngorangora (Kirakira)
A,SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova
A,MUA,AGGM,Munda
A,GZO,AGGN,Nusatupe (Gizo)
A,MNY,AGGO,Mono (Stirling Island)
A,PRS,AGGP,Parasi
A,RNL,AGGR,Rennell/Tingoa (Rennell Island)
A,EGM,AGGS,Sege
A,NNB,AGGT,Santa Ana (Santa Ana Island)
A,RUS,AGGU,Marau
A,VAO,AGGV,Suavanao
A,XYA,AGGY,Yandina
A,,AGIN,Isuna Heliport (Veravaulo)
A,AGK,,Kagua
A,KGE,AGKG,Kaghau (Kagau Island)
A,KUE,AGKU,Kukudu (Kolombangara Island)
A,KWS,AGKW,Kwailabesi
A,LLM,AGLM,Lomlom
A,NAZ,AGNA,Nana (Star Harbor)
A,MHM,AGOB,Manaoba
A,GTA,AGOK,Gatokae Aerodrome
A,RIN,AGRC,Ringi Cove
A,RBV,AGRM,Ramata
A,TLG,AGTI,Tulaghi Heliport (Tulaghi Island)
A,AHY,,Ambatolhy (Ambatolahy)
A,AIC,,Ailinglaplap Airok (Bigatyelang Island)
A,,AK00,Anchor River Airpark (Anchor Point)
A,,AK01,Alaska Airpark (Sterling)
A,,AK02,Bear Creek 1
A,,AK04,Skelton (Eureka)
A,,AK05,Breeden (Sterling)
A,,AK06,Denali (Denali Park)
A,,AK07,Dog Fish Bay (Nanwalek)
A,,AK08,Thomas Strip (Willow)
A,,AK09,Wingsong Estates (Delta Junction)
A,,AK10,AK-10 Airstrip (Willow)
A,,AK11,Point Mcintyre
A,,AK12,Flying Crown (Anchorage)
A,CEX,AK13,Chena Hot Springs
A,,AK14,Turinsky Airstrip (Point Mackenzie)
A,,AK16,Sunset Strip (Wasilla)
A,,AK17,Glacierview Strip (Homer)
A,,AK18,Camp Point (Homer)
A,,AK19,Carl's Landing (Talkeetna)
A,,AK20,CD-3 Airstrip (Nuiqsut)
A,,AK21,Nushagak (Dillingham)
A,,AK22,Lakloey Air Park (Fairbanks)
A,,AK24,Hilltop (Chugiak)
A,,AK25,Piper Landing (Wasilla)
A,SOL,AK26,Solomon State Field
A,,AK27,Valley Flying Crown (Wasilla)
A,,AK28,Chena Marina (Fairbanks)
A,,AK29,Reids Landing (Houston)
A,,AK30,Strawberry Point (Cordova)
A,,AK31,Swift Creek (Mccarthy)
A,,AK32,Oooguruk Island Heliport (Nuiqsut)
A,HED,AK33,Herendeen Bay
A,,AK34,Kashwitna Lake Seaplane Base (Willow)
A,,AK35,Buffalo Row Heliport (Delta Junction)
A,,AK36,Point Mac (Point Mackenzie)
A,,AK37,Point Mackenzie Heliport
A,,AK38,Providence Hospital Heliport (Anchorage)
A,,AK39,South Gasline (Sterling)
A,,AK40,Nixon Fork Mine (McGrath)
A,,AK41,Greg'n Sage (North Pole)
A,,AK43,Jacobsen Lake Seaplane Base (Wasilla)
A,,AK44,Talkeetna Village Strip
A,,AK46,Abi (Palmer)
A,,AK47,Shawn Field (Wasilla)
A,TWE,AK49,Taylor
A,,AK50,Sky Ranch At Pioneer Peak (Palmer)
A,,AK51,Wilder/Natwick LLC (Port Alsworth)
A,,AK52,Moen's Ranch (Fairbanks)
A,,AK53,Maud Road Strip (Palmer)
A,,AK54,Stro's (Wasilla)
A,,AK55,Moose Run Airstrip (Soldotna)
A,KTH,AK56,Tikchik Lodge Seaplane Base
A,,AK57,Long Lake Seaplane Base (Willow)
A,,AK59,King Ranch (Sutton)
A,,AK60,Fort Jensen (Jensens)
A,,AK61,Stephan Lake Lodge (Talkeetna)
A,NKI,AK62,Naukati Bay Seaplane Base (Tuxekan Island)
A,,AK63,Pat-Mar Strip (Palmer)
A,,AK64,Taylor Mountain (Taylor Mountain Mine)
A,,AK65,Green's Strip (Wasilla)
A,,AK66,Hunter Creek (Palmer)
A,,AK67,Skid Marks (Willow)
A,,AK68,Minuteman Strip (Willow)
A,,AK69,Long Lake (Willow)
A,,AK72,Jewell (Willow)
A,,AK73,McGahan Industrial Airpark (Nikiski)
A,,AK74,Kodiak Emergency/Spruce Cape Heliport
A,CDL,AK75,Candle 2
A,,AK76,East Alsek River (Yakutat)
A,,AK77,All West (Delta Junction)
A,,AK80,American Creek
A,AOS,AK81,Amook Bay Seaplane Base
A,,AK82,Campbell BLM Heliport (Anchorage)
A,,AK83,Gannon's Landing (Wasilla)
A,,AK84,Scooter's Landing Strip (Sterling)
A,,AK85,Birchwater (Wasilla)
A,,AK86,Kramer (Big Lake)
A,,AK87,Team Levine Heliport (Big Lake)
A,,AK88,Eagle Nest (Palmer)
A,,AK89,Black Spruce (Houston)
A,,AK90,Shirley Lake (Willow)
A,,AK91,Elmendorf Hospital Heliport (Anchorage)
A,,AK92,Martin (Palmer)
A,,AK93,Grouse Ridge (Palmer)
A,,AK94,Alascom/Coastal Lena Point Heliport (Juneau)
A,,AK95,Twin Lake (Big Lake)
A,BSW,AK97,Boswell Bay
A,,AK98,Buck Creek
A,,AK99,Grand Home (Wasilla)
A,AKM,,Zakuoma (ZaKouma)
A,,AL05,Sehoy (Hurtsboro)
A,,AL07,EAMC-Lanier Heliport (Valley)
A,,AL08,Perdido Winds Airpark (Elberta)
A,,AL09,Cloudmont Airpark (Mentone)
A,,AL10,Frerichs (Gurley)
A,,AL11,Baptist Medical Center Heliport (Montgomery)
A,,AL12,Kershaw (Montgomery)
A,,AL13,Westrock - Mahrt Mill Heliport (Cottonton)
A,,AL14,Whitfield Regional Hospital Heliport (Demopolis)
A,,AL16,Turkey Creek (Pinson)
A,,AL17,Lazy Eight Airpark Llc (Wilsonville)
A,,AL18,Parker Field (Gardendale)
A,,AL19,Medical West Heliport (Bessemer)
A,,AL20,Southeast Alabama Medical Center Heliport (Dothan)
A,,AL21,Lakeside Heliport (Birmingham)
A,,AL24,Rotor Wing Inc Heliport (Mount Olive)
A,,AL25,Spratling Field (Roba)
A,,AL26,Bryant Culberson Heliport (Tuscaloosa)
A,,AL27,Headquarters (Centre)
A,,AL29,New Horizon (Blountsville)
A,,AL32,Flying BK Ranch (Cedar Bluff)
A,,AL33,Sturdy Oak Farm (Perdido)
A,,AL34,Elam's Landing (Moulton)
A,,AL35,Mc Ginnis (Loxley)
A,,AL36,The Huntsville Hospital Heliport
A,,AL37,Benedick (Jack)
A,,AL38,University of Alabama Hospital Heliport (Birmingham)
A,,AL39,Shelby Medical Center Heliport (Alabaster)
A,,AL41,Freedom Field (Slocomb)
A,,AL42,Regional Medical Center Anniston Heliport
A,,AL43,Henley Ranch (Geiger)
A,,AL44,Cullman Medical Center Heliport
A,,AL46,Shoals Creek Seaplane Base (Florence)
A,,AL48,Southwest Alabama Medical Center Heliport (Thomasville)
A,,AL49,Carraway Medical Center Heliport (Birmingham)
A,,AL50,Baptist Medical Center-Princeton Heliport (Birmingham)
A,,AL51,Flying C's Plantation (Crawford)
A,,AL52,USA Health University Hospital Heliport (Mobile)
A,,AL53,Humana Hospital Shoals Heliport (Muscle Shoals)
A,,AL54,Bird Nest (Winfield)
A,,AL55,Shields (Elberta)
A,,AL58,Lower Delta Seaplane Base (Spanish Fort)
A,,AL59,Flowers Hospital Heliport (Dothan)
A,,AL60,Dugger's Field (Ashville)
A,,AL62,Striplin (Hartford)
A,,AL63,Walker Regional Medical Center Heliport (Jasper)
A,,AL65,St Vincents East Heliport (Birmingham)
A,,AL66,Alabama Power Headquarters Heliport (Birmingham)
A,,AL69,Vaughn Private (Summerdale)
A,,AL71,Willow Point (Our Town)
A,,AL74,Grimes Field (Semmes)
A,,AL75,Gulf State Park Seaplane Base (Gulf Shores)
A,,AL76,Mayfield (Private) (Maplesville)
A,,AL77,Smart Road (Troy)
A,,AL78,Klumpp (Fairhope)
A,,AL79,Bartlett Ranch (Pike Road)
A,,AL82,Providence Hospital Heliport (Mobile)
A,,AL83,Community Hospital Heliport (Tallassee)
A,,AL84,Pecan Ponds Farm (Robertsdale)
A,,AL86,Lawrence County Hospital Heliport (Moulton)
A,,AL87,Dale Medical Center Heliport (Ozark)
A,,AL88,Ban Farm (Lillian)
A,,AL89,Sommerset Strip (Opelika)
A,,AL90,Selma Medical Center Heliport
A,,AL91,The Children's Hospital Heliport (Birmingham)
A,,AL92,Hawk Field (Harpersville)
A,,AL93,Big Sky (Huntsville)
A,,AL94,Evans Field (Wilmer)
A,,AL95,McIntosh Community Heliport
A,,AL96,Bon Secour Seaplane Base (Gulf Shores)
A,,AL97,Williamson Farm (Loxley)
A,,AL98,DCH Regional Medical Center Heliport (Tuscaloosa)
A,ALZ,,Alitak Seaplane Base (Lazy Bay)
A,YUK,,Syunik (Kapan)
A,AME,,Alto Molocue
A,AMY,,Ambatomainty
A,,AN00,Racs Magazine Heliport (Girdwood)
A,,AN01,Av Ranch (Klondyke)
A,,AN03,Alaska View (Skwentna)
A,,AN04,Dorcol (Palmer)
A,,AN37,Frog Pond (Jonesboro)
A,INU,ANYN,Nauru (Yaren)
A,ANZ,,Angus Downs (Angus Downs Station)
A,CTV,,Catoca (Saurimo)
A,ANL,,Andulo
A,CNZ,,Cangamba
A,DRC,,Dirico
A,NDF,,N'dalatando
A,AOB,,Annanberg
